band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
i,4.017850848490075,-65.77964107693714,0.15818833336494365,0.021686553955078125,0.004384614527225494,0,False,True,0.021686553955078125,0.004384614527225494,2025-10-25 02:56:01.974000+00:00,2025-10-25 02:56:06.391000+00:00,4.417
i,4.017922088081513,-65.7796417052407,0.15264450509888405,0.020112991333007812,0.0051405602134764194,0,False,True,0.020112991333007812,0.0051405602134764194,2025-10-25 02:56:39.610000+00:00,2025-10-25 02:56:46.656000+00:00,7.046
i,3.1463821226683044,-62.93850389426918,0.1850842112319171,0.015354156494140625,0.005239899270236492,0,False,True,0.015354156494140625,0.005239899270236492,2025-10-25 02:57:17.621000+00:00,2025-10-25 02:57:17.377000+00:00,0.244
i,3.1465478284114705,-62.938506840524674,0.17619619819114263,0.014535903930664062,0.004676785785704851,0,False,True,0.014535903930664062,0.004676785785704851,2025-10-25 02:57:55.183000+00:00,2025-10-25 02:57:47.624000+00:00,7.559
i,9.7240974119237,-63.94137594943637,0.10348831999187524,0.030277252197265625,0.005544016137719154,0,False,True,0.030277252197265625,0.005544016137719154,2025-10-25 02:59:15.525000+00:00,2025-10-25 02:59:18.579000+00:00,3.054
i,9.724115929818867,-63.941377070746,0.11410903474521206,0.030399322509765625,0.005235772579908371,0,False,True,0.030399322509765625,0.005235772579908371,2025-10-25 02:59:53.010000+00:00,2025-10-25 02:59:48.784000+00:00,4.226
i,14.63585368040943,-61.888984327643385,0.12568405358043933,0.04138755798339844,0.0038682310841977596,0,False,True,0.04138755798339844,0.0038682310841977596,2025-10-25 03:00:32.703000+00:00,2025-10-25 03:00:28.971000+00:00,3.732
i,14.63584744448756,-61.888986692012914,0.13561389534675783,0.03936958312988281,0.003820931538939476,0,False,True,0.03936958312988281,0.003820931538939476,2025-10-25 03:01:10.170000+00:00,2025-10-25 03:00:59.186000+00:00,10.984
i,11.702076855239504,-56.20046668185079,0.1607456281466888,0.023204803466796875,0.0023919036611914635,0,False,True,0.023204803466796875,0.0023919036611914635,2025-10-25 03:03:11.080000+00:00,2025-10-25 03:03:01.390000+00:00,9.69
i,10.63900429108467,-53.318628042766164,0.14189312362395867,0.020221710205078125,0.0024239448830485344,0,False,True,0.020221710205078125,0.0024239448830485344,2025-10-25 03:03:50.656000+00:00,2025-10-25 03:03:41.598000+00:00,9.058
i,5.929118340981541,-52.5017689232684,0.1291068330198719,0.021924972534179688,0.005955259315669537,0,False,True,0.021924972534179688,0.005955259315669537,2025-10-25 03:05:10.607000+00:00,2025-10-25 03:05:12.208000+00:00,1.601
i,13.13800884180859,-48.15179993340218,0.13649700978818657,0.025638580322265625,0.004715577699244022,0,False,True,0.025638580322265625,0.004715577699244022,2025-10-25 03:06:35.381000+00:00,2025-10-25 03:06:52.811000+00:00,17.43
i,8.983815816060392,-47.48721356573217,0.1075345929503122,0.022619247436523438,0.0015784300630912185,0,False,True,0.022619247436523438,0.0015784300630912185,2025-10-25 03:07:19.591000+00:00,2025-10-25 03:07:22.999000+00:00,3.408
i,5.392967028980163,-49.60673969104604,0.11748374763667258,0.0261383056640625,0.005031940061599016,0,False,True,0.0261383056640625,0.005031940061599016,2025-10-25 03:08:01.609000+00:00,2025-10-25 03:07:53.627000+00:00,7.982
i,4.928141487315766,-46.691042908849155,0.14243942457630965,0.012111663818359375,0.004961770493537188,0,False,True,0.012111663818359375,0.004961770493537188,2025-10-25 03:08:41.801000+00:00,2025-10-25 03:08:54.084000+00:00,12.283
i,0.9757997494446378,-45.756587754054884,0.12379605995304743,0.021633148193359375,0.00698391767218709,0,False,True,0.021633148193359375,0.00698391767218709,2025-10-25 03:09:26.954000+00:00,2025-10-25 03:09:24.299000+00:00,2.6550000000000002
i,1.160537970029548,-48.64309798599198,0.16053080966912603,0.025300979614257812,0.0033676126040518284,0,False,True,0.025300979614257812,0.0033676126040518284,2025-10-25 03:10:10.093000+00:00,2025-10-25 03:10:04.511000+00:00,5.582
i,357.06216248354383,-47.51230829033709,0.15513859039403144,0.029058456420898438,0.0035305884666740894,0,False,True,0.029058456420898438,0.0035305884666740894,2025-10-25 03:10:54.006000+00:00,2025-10-25 03:11:04.905000+00:00,10.899000000000001
i,353.1074145807354,-46.19645401096733,0.13507485948031928,-0.0050373077392578125,0.007812043651938438,0,False,True,-0.0050373077392578125,0.007812043651938438,2025-10-25 03:11:37.736000+00:00,2025-10-25 03:11:35.122000+00:00,2.614
z,14.224051825306402,-51.0748277271742,0.08789527964358257,0.02223968505859375,0.0067152297124266624,0,False,True,0.02223968505859375,0.0067152297124266624,2025-10-25 03:14:54.924000+00:00,2025-10-25 03:14:46.457000+00:00,8.467
