band,ra,dec,ext_consdb,err_consdb,ext_dream,sig_dream,visit_time,dt_sec
u,98.04552306784379,-30.72636221818027,0.08626613456025467,,0.04754066467285156,0.00606111902743578,2025-12-16 08:00:22.474000+00:00,9.254
r,99.98275024452819,-30.721607392444472,-0.024524164012749594,,0.039188385009765625,0.004427390173077583,2025-12-16 08:05:34.662000+00:00,2.038
r,99.98306613958536,-30.72163109031018,-0.02607969907751695,,0.025136947631835938,0.004396077245473862,2025-12-16 08:08:08.146000+00:00,9.926
u,101.92028943185817,-30.716900610225142,0.07145873960707405,,0.0589599609375,0.007506078574806452,2025-12-16 08:13:20.062000+00:00,10.751
u,101.92016381322944,-30.71687484499323,0.07349205433231987,,0.0604705810546875,0.00557247968390584,2025-12-16 08:15:48.109000+00:00,6.174
r,103.86736715696088,-30.712177718819518,-0.030081434171012944,,0.004486083984375,0.004937071818858385,2025-12-16 08:21:04.473000+00:00,3.702
r,103.8672095546192,-30.712152142972215,-0.034736203507364394,,-0.00064849853515625,0.003803473198786378,2025-12-16 08:23:37.441000+00:00,4.696
r,93.28103987644603,-25.85457546555139,0.44410452561825764,,0.0345306396484375,0.007300719618797302,2025-12-17 02:58:57.596000+00:00,7.577
r,93.28103770054938,-25.854575843056807,0.47538328954340514,,0.023647308349609375,0.006991316098719835,2025-12-17 02:59:33.965000+00:00,1.436
r,93.85053973693802,-25.85316141482807,-0.00981415016527265,,0.053447723388671875,0.005448819603770971,2025-12-17 03:01:13.819000+00:00,7.766
r,93.85043625339958,-25.853162170103392,-0.0021974367809249884,,0.08130836486816406,0.005547766573727131,2025-12-17 03:01:50.971000+00:00,14.693999999999999
r,94.35566791639296,-25.851856299603593,-0.024564957401576493,,0.04843902587890625,0.004074206110090017,2025-12-17 03:03:14.966000+00:00,2.05
r,94.35547136830442,-25.851907701455005,-0.022228024544503455,,0.052173614501953125,0.0037758639082312584,2025-12-17 03:03:51.354000+00:00,4.103
r,94.90414214186968,-25.850495201464316,-0.027220992958937984,,0.04804229736328125,0.004093793220818043,2025-12-17 03:05:25.956000+00:00,2.009
r,94.90415187493468,-25.850494652056604,-0.024701202552368073,,0.050159454345703125,0.0044644176959991455,2025-12-17 03:06:02.322000+00:00,4.132
r,95.45357473802783,-25.849181858998307,-0.02615118604026634,,0.04709053039550781,0.004100300371646881,2025-12-17 03:07:37.875000+00:00,9.024
r,95.45377246678044,-25.84918116245938,-0.025740923221587053,,0.0598907470703125,0.0036836175713688135,2025-12-17 03:08:14.240000+00:00,14.972
r,95.95888728224676,-25.847927792688342,-0.024042052206478814,,0.052951812744140625,0.0036960747092962265,2025-12-17 03:09:38.711000+00:00,1.3679999999999999
r,95.9588635515517,-25.847928756967935,-0.023857637858792913,,0.058628082275390625,0.003788129659369588,2025-12-17 03:10:15.635000+00:00,5.227
r,96.46473470863846,-25.846675947939943,-0.024795641413806635,,0.06567192077636719,0.004441816359758377,2025-12-17 03:11:40.204000+00:00,10.945
r,96.46492922340849,-25.846674961597717,-0.020032575679284292,,0.07007789611816406,0.003766002831980586,2025-12-17 03:12:16.587000+00:00,4.76
r,96.99871625120718,-25.845354082146095,-0.0205047194963619,,0.03783226013183594,0.009431702084839344,2025-12-17 03:13:47.775000+00:00,4.219
r,96.99859213417777,-25.84535437051751,-0.022482471749448507,,0.03539276123046875,0.010392234660685062,2025-12-17 03:14:24.166000+00:00,1.771
r,97.52400392501644,-25.844055541289382,-0.022340974312232476,,0.02896881103515625,0.0064473929814994335,2025-12-17 03:15:53.303000+00:00,9.756
r,97.52404834551487,-25.844003424509488,-0.019161255862194082,,0.0139617919921875,0.0070319827646017075,2025-12-17 03:16:29.675000+00:00,3.643
r,98.03051936264984,-25.842752956476414,-0.022322877919418005,,0.022174835205078125,0.008180534467101097,2025-12-17 03:17:54.330000+00:00,19.81
r,98.03057362469724,-25.8427532483367,-0.021390001575348094,,0.028537750244140625,0.007415070664137602,2025-12-17 03:18:30.703000+00:00,13.695
r,98.03040431453485,-25.84280308426503,-0.025587657960791432,,0.028402328491210938,0.006944783963263035,2025-12-17 03:21:41.844000+00:00,14.064
r,98.03031801167465,-25.8427986787391,-0.019178293489634513,,0.06592941284179688,0.006337850820273161,2025-12-17 03:24:18.550000+00:00,9.377
r,98.03050869787197,-25.842748487219335,-0.019743991386526716,,0.08237075805664062,0.005702326074242592,2025-12-17 03:27:03.884000+00:00,5.373
r,98.03039298091221,-25.84279707617752,-0.020280530383402606,,0.091583251953125,0.005407178774476051,2025-12-17 03:29:29.863000+00:00,9.705
i,102.25087882227089,-25.000025412822232,1.476108853273356,,0.0251007080078125,0.0033139020670205355,2025-12-17 04:00:44.467000+00:00,1.102
i,102.25089570207345,-25.00002508369369,1.783823110722853,,0.0153350830078125,0.003584803780540824,2025-12-17 04:01:20.835000+00:00,5.005
i,102.25110926772197,-25.00002513580211,1.2344606968541534,,0.01251220703125,0.0030184925999492407,2025-12-17 04:01:57.193000+00:00,11.135
r,102.2507846989795,-25.00008538650233,-0.01998579383129595,,0.014232635498046875,0.003979870118200779,2025-12-17 04:21:21.529000+00:00,3.45
r,102.2508037375654,-25.000025283349927,-0.021190773572698163,,0.018796920776367188,0.0037053374107927084,2025-12-17 04:21:57.879000+00:00,2.636
r,102.25079631829776,-25.00008595985141,-0.022175944637741196,,0.0257568359375,0.003220528597012162,2025-12-17 04:22:34.264000+00:00,1.272
i,9.07940325503996,-44.15660630935903,0.01240487554045444,,0.07355690002441406,0.0055451774969697,2025-12-17 04:29:46.809000+00:00,12.046
i,8.945191768270993,-44.09018536934961,0.011336906804558566,,0.06539535522460938,0.005984363611787558,2025-12-17 04:30:26.978000+00:00,2.159
i,9.481979382746673,-44.284523936463664,0.011400406424549203,,0.045475006103515625,0.00620662234723568,2025-12-17 04:31:07.102000+00:00,7.725
i,35.723105469716764,-5.1758257922580295,0.011475147134408559,,0.1566009521484375,0.007442607078701258,2025-12-17 04:34:15.343000+00:00,4.593
i,35.48863153001867,-4.8222122039863695,0.01202585696015035,,0.14768600463867188,0.008750499226152897,2025-12-17 04:34:58.408000+00:00,12.867
i,35.59810163550133,-4.93576451975289,0.010361721456860096,,0.13745880126953125,0.00764095364138484,2025-12-17 04:35:41.583000+00:00,9.924
i,53.00033734249445,-28.176831534882254,0.02199164016670707,,0.10270881652832031,0.014424403198063374,2025-12-17 04:36:36.927000+00:00,15.012
i,52.70534896729267,-27.959564464241566,0.018281473700376694,,0.1083526611328125,0.006704647094011307,2025-12-17 04:37:56.953000+00:00,4.497
i,59.553452082259824,-49.1292740734683,0.017174971841996012,,0.0860748291015625,0.0038030333817005157,2025-12-17 04:39:08.332000+00:00,5.41
i,59.55348703945231,-49.12927206861032,0.012901277600143146,,0.0906829833984375,0.004299561958760023,2025-12-17 04:39:55.858000+00:00,7.578
i,63.25600167727237,-47.80840993846813,0.015966775094664598,,0.054821014404296875,0.006506909616291523,2025-12-17 04:40:35.947000+00:00,2.137
i,63.255931957103854,-47.80841110094283,0.015396371952874688,,0.061008453369140625,0.0070764715783298016,2025-12-17 04:45:13.513000+00:00,12.446
i,63.25602998584362,-47.80841259958502,0.014459247935352693,,0.05059051513671875,0.0071420432068407536,2025-12-17 04:45:49.911000+00:00,6.487
i,63.256000966159434,-47.808410515662075,0.014492435781836122,,0.05394744873046875,0.006336016580462456,2025-12-17 04:47:25.810000+00:00,1.3
i,63.25593895099581,-47.808410210414245,0.016123022004521204,,0.05355072021484375,0.006597595289349556,2025-12-17 04:48:02.191000+00:00,5.289
i,63.25602467357457,-47.808411814146346,0.01603610560458435,,0.04239845275878906,0.006517612840980291,2025-12-17 04:49:13.438000+00:00,5.452
i,63.25600530970903,-47.8084106783701,0.01541091112716586,,0.04703330993652344,0.006022933404892683,2025-12-17 04:49:49.831000+00:00,11.567
i,62.86186967694256,-48.0462896608485,0.016637610062300467,,0.046428680419921875,0.00625498965382576,2025-12-17 04:52:17.267000+00:00,2.186
i,9.079487653657358,-44.15660459461738,0.004840809172652172,,0.03323554992675781,0.006940487306565046,2025-12-17 04:53:11.709000+00:00,8.292
i,8.945068248321261,-44.09018437510103,0.003338368558701177,,0.04055023193359375,0.006954077631235123,2025-12-17 04:53:51.636000+00:00,1.333
i,9.482255722177475,-44.284522955008185,0.003505823549211584,,0.056537628173828125,0.007065807469189167,2025-12-17 04:54:31.217000+00:00,10.673
i,9.655764301772257,-44.38410530046925,0.0020700057697666807,,0.053211212158203125,0.006534202955663204,2025-12-17 04:55:11.271000+00:00,10.492
i,9.330063258755374,-44.03054237914287,0.0004729760062787136,,0.040699005126953125,0.007287505082786083,2025-12-17 04:55:51.923000+00:00,9.491
i,9.481743413305153,-44.14412368001594,-0.0005431640847106678,,0.03157615661621094,0.006147568114101887,2025-12-17 04:56:31.973000+00:00,0.31
i,9.47598082002486,-44.0851645020762,-0.0022335367828212327,,0.040828704833984375,0.007536083925515413,2025-12-17 04:57:12.234000+00:00,10.337
i,35.3084947796067,-4.948524980689435,0.013878373487088425,,0.11884307861328125,0.015358149074018002,2025-12-17 04:58:25.580000+00:00,13.109
i,35.211186233623465,-4.882338821522933,0.008888084246631678,,0.13217926025390625,0.009345665574073792,2025-12-17 04:59:08.950000+00:00,3.965
i,35.59827060601141,-5.076168256632751,0.00866247284704258,,0.125030517578125,0.011815104633569717,2025-12-17 04:59:52.385000+00:00,9.236
i,35.72307785067681,-5.175833036698543,0.008634915373153973,,0.14775848388671875,0.008081232197582722,2025-12-17 05:00:35.812000+00:00,7.996
i,35.488601798435816,-4.822123903891492,0.0075768436637631,,0.1403045654296875,0.010264268144965172,2025-12-17 05:01:19.224000+00:00,4.931
i,35.59821457499583,-4.9357710258002205,0.006340538280120711,,0.1046600341796875,0.017677534371614456,2025-12-17 05:02:03.251000+00:00,8.825
i,35.59382272411883,-4.8768118701514025,0.009388519953184016,,0.11761665344238281,0.012481698766350746,2025-12-17 05:02:46.501000+00:00,8.411
i,52.70533030848066,-27.959565390241888,0.016359229938970543,,0.08992767333984375,0.005232305731624365,2025-12-17 05:04:16.044000+00:00,19.606
i,149.84259641425763,2.101640084625746,-0.0019817057443631825,,0.19561386108398438,0.026170697063207626,2025-12-17 05:07:24.616000+00:00,17.786
i,149.74568782612099,2.167794866679435,0.009932914026371975,,0.14755630493164062,0.024417458102107048,2025-12-17 05:08:08.212000+00:00,9.096
i,150.13171964682437,1.9740345472137024,-0.0011857319480590434,,0.16742515563964844,0.02360774576663971,2025-12-17 05:08:51.645000+00:00,4.104
i,53.005180853520834,-28.235789568884904,0.013903241677841294,,0.0860137939453125,0.01418707799166441,2025-12-17 05:12:38.378000+00:00,8.74
i,59.55341850728447,-49.12926754532777,0.014676152766529782,,0.07936859130859375,0.005254223011434078,2025-12-17 05:14:23.922000+00:00,16.863
i,59.58255211566693,-49.28826773914326,0.013818910683657037,,0.07833290100097656,0.0049874125979840755,2025-12-17 05:15:04.080000+00:00,6.943
i,59.83036684789852,-48.9611253375432,0.011108968850820133,,0.0704193115234375,0.00484237028285861,2025-12-17 05:15:44.125000+00:00,2.875
i,59.553439090841685,-49.129267582770794,0.012464368735891185,,0.07925224304199219,0.00530260382220149,2025-12-17 05:16:55.940000+00:00,14.178
i,63.2559281242241,-47.80840535320007,0.012926031424385087,,0.03906059265136719,0.007888209074735641,2025-12-17 05:17:36.134000+00:00,14.136
i,62.861992174228554,-48.04628470039822,0.012623102169836642,,0.0507049560546875,0.00712314760312438,2025-12-17 05:18:16.270000+00:00,6.272
i,62.90337940450092,-47.90997768364266,0.012593401348681255,,0.04345130920410156,0.006961259990930557,2025-12-17 05:18:56.885000+00:00,4.11
i,62.899954382623704,-47.863217767217456,0.011604711232450882,,0.03535270690917969,0.0070546334609389305,2025-12-17 05:19:37.952000+00:00,14.847
i,63.954482039558485,-47.40601855547231,0.014112914526290155,,0.075775146484375,0.007796076126396656,2025-12-17 05:22:23.672000+00:00,10.865
i,60.16737883503917,-49.046199465490965,0.011445513086307813,,0.06672096252441406,0.005770842544734478,2025-12-17 05:23:29.161000+00:00,5.888
i,63.1831954575966,-44.65120813922777,0.014878748214211868,,0.03946495056152344,0.0036499041598290205,2025-12-17 05:24:09.616000+00:00,5.652
i,67.46847405672018,-45.76853436142218,0.014734317390743712,,0.008451461791992188,0.0044873361475765705,2025-12-17 05:25:27.403000+00:00,11.66
i,70.74744601589819,-44.08571450159665,0.015847930853585268,,0.09544181823730469,0.0059059434570372105,2025-12-17 05:26:05.882000+00:00,10.37
